Line,Station,Lat,Long,E_WGS84_Z7,N_WGS84_Z7,ALT,Az,Dur,Noise,rE_0011,rE_0022,rE_0045,rE_0090,rE_0180,rE_0360,rE_0720,rE_1440,rN_0011,rN_0022,rN_0045,rN_0090,rN_0180,rN_0360,rN_0720,rN_1440,iE_0011,iE_0022,iE_0045,iE_0090,iE_0180,iE_0360,iE_0720,iE_1440,iN_0011,iN_0022,iN_0045,iN_0090,iN_0180,iN_0360,iN_0720,iN_1440,SNI_0011,SNI_0022,SNI_0045,SNI_0090,SNI_0180,SNI_0360,SNI_0720,SNI_1440
1000,2000,61.37021422,-139.2240985,594923,6805316,1298.5,149,164,0,-0.137,0.093,0.087,0.082,0.077,0.066,0.041,-0.081,0.369,0.177,0.2,0.206,0.185,0.149,0.085,-0.105,0.195,0.053,0.02,0.006,-0.003,-0.015,-0.045,-0.031,0.093,0.086,0.05,-0.004,-0.039,-0.065,-0.102,-0.097,22.4,164.3,431.8,897.3,1817.6,2774.3,3208,1359.8
1000,2000,61.37021422,-139.2240985,594923,6805316,1298.5,217,121,0,0.204,0.09,0.09,0.091,0.083,0.074,0.051,-0.236,0.058,0.134,0.18,0.189,0.173,0.144,0.091,-0.256,0.123,0.065,0.033,0.004,-0.003,-0.018,0.024,0.043,0.101,0.081,0.049,-0.002,-0.035,-0.058,-0.018,-0.054,25.4,117.4,310.2,578.5,764.5,1041.6,535.7,60.4
1000,2250,61.37186157,-139.2209735,595085,6805504,1278.3,215.5,209,0,,0.192,0.165,0.084,0.069,0.064,0.173,0.041,,0.067,0.14,0.149,0.124,0.088,0.12,-0.193,-0.002,0.074,0.033,0.003,-0.005,-0.018,-0.026,-0.08,-0.058,0.072,0.039,-0.014,-0.046,-0.058,-0.07,-0.102,79.8,125.2,310.7,700.4,609.9,261.7,79.1,15.6
1000,2500,61.37350958,-139.2179043,595244,6805692,1205.3,354,340,0,,-0.057,-0.01,0.002,0.003,-0.015,0.092,,,0.102,0.136,0.125,0.091,0.043,-0.087,,0.013,0.05,0.019,0.004,0.001,-0.006,0.015,0.05,0.123,0.081,0.025,-0.035,-0.067,-0.081,-0.127,-0.097,49.6,159.9,502,828,668.1,282.5,54.6,22.7
1000,2750,61.37514854,-139.2148354,595403,6805879,1212.3,330.1,261,0,,-0.083,0.005,0.019,0.034,0.043,0.017,-0.011,,0.045,0.113,0.125,0.119,0.109,0.06,0.023,-0.004,0.077,0.043,0.029,0.029,0.025,0.06,0.095,-0.08,0.087,0.053,0.019,0.005,0.004,0.039,0.065,8.6,120.1,352.1,676.4,788.4,655.7,114.1,7.6
1000,3000,61.37695561,-139.2117171,595564.1,6806084.8,1159.67,267.4,121,0,,0.001,0.022,0.03,0.034,0.033,0.026,0.019,,0.07,0.091,0.112,0.121,0.128,0.156,0.173,0.064,0.059,0.044,0.024,0.011,0,-0.008,-0.011,0.08,0.074,0.062,0.043,0.033,0.03,0.034,0.037,28.7,194.1,455.9,1002.1,1862.2,1762.4,1098.4,745.5
1000,3000,61.37695561,-139.2117171,595564.1,6806084.8,1159.67,172.3,167,0,,0.12,0.061,0.053,0.053,0.051,0.041,0.027,,0.081,0.1,0.124,0.128,0.135,0.158,0.201,0.142,0.102,0.049,0.023,0.006,-0.005,-0.014,-0.02,-0.002,0.093,0.058,0.039,0.027,0.025,0.029,0.03,9.5,85.9,306.5,614.7,1290.5,1969.8,1010.6,321.5
1000,3250,61.3785606,-139.20867,595722,6806268,1102.6,291.2,267,0,,-0.069,-0.032,0.016,0.025,0.034,0.04,0.048,,-0.034,0.038,0.093,0.118,0.128,0.12,0.105,,0.066,0.039,0.034,0.031,0.026,0.025,0.033,,0.076,0.069,0.052,0.033,0.012,-0.014,-0.029,21,188.1,520.8,1260.7,3119,3298.9,1920.1,865.5
1000,3500,61.38027888,-139.2055019,595886,6806464,1083.2,359.9,208,0,,-0.147,-0.094,-0.035,-0.008,0.009,0.03,0.06,,-0.044,0.003,0.054,0.101,0.131,0.151,0.168,0.095,0.051,0.05,0.037,0.043,0.046,0.053,0.059,0.107,0.107,0.099,0.089,0.074,0.053,0.027,0,47.7,210.5,413,905.6,2048.6,3177.4,2312.6,965.2
1000,3750,61.38195295,-139.2023921,596047,6806655,1069.5,298.5,245,0,,-0.081,-0.056,-0.035,-0.007,0.018,0.043,0.065,,-0.068,-0.019,0.026,0.074,0.115,0.142,0.167,,0.019,0.041,0.051,0.056,0.059,0.065,0.069,,0.046,0.087,0.095,0.094,0.083,0.053,0.053,31.1,256.6,603.3,1057.4,1232.8,1059.4,920.3,793.5
1000,4000,61.3835918,-139.1993402,596205,6806842,1002.9,339.2,166,0,,-0.134,-0.093,-0.074,-0.056,-0.035,-0.013,0.008,,-0.145,-0.09,-0.043,0.009,0.053,0.099,0.126,0.044,0.016,0.042,0.028,0.04,0.046,0.047,0.047,0.122,0.065,0.083,0.091,0.096,0.092,0.082,0.066,20.3,172.8,426.1,768.8,1351.5,1578.9,737.1,1214.3
1000,4000,61.3835918,-139.1993402,596205,6806842,1002.9,288.7,162,0,,-0.096,-0.085,-0.067,-0.044,-0.017,0.003,0.022,,-0.133,-0.094,-0.04,0.01,0.05,0.102,0.129,0.033,0.051,0.048,0.048,0.054,0.055,0.053,0.051,0.057,0.063,0.072,0.089,0.095,0.087,0.075,0.074,28.1,177.3,340.4,806.5,1306.6,1107.3,726.3,567.1
1000,4250,61.38529141,-139.1961347,596371,6807036,956,14.8,161,0,,-0.139,-0.114,-0.102,-0.084,-0.06,-0.039,-0.019,,-0.149,-0.13,-0.101,-0.057,-0.019,0.007,0.019,0.074,0.028,0.025,0.03,0.043,0.048,0.051,0.048,0.026,0.046,0.051,0.07,0.072,0.062,0.043,0.017,57.4,223.4,522.7,1169.5,1972.1,3392.3,6913.4,7339.6
1000,4500,61.38699318,-139.1930972,596528,6807230,933,228.5,162,0,,-0.145,-0.149,-0.146,-0.127,-0.097,-0.07,-0.042,,-0.149,-0.134,-0.105,-0.071,-0.031,0.012,0.044,-0.007,0.022,0.017,0.035,0.057,0.069,0.079,0.074,0.006,0.028,0.045,0.061,0.078,0.085,0.091,0.078,33.9,136.2,332.5,518.3,593.1,844.8,935.4,604.9
1000,4750,61.38861387,-139.1900453,596686,6807415,896.3,206,180,0,,-0.112,-0.146,-0.163,-0.155,-0.133,-0.105,-0.068,,-0.173,-0.153,-0.132,-0.116,-0.094,-0.056,-0.015,-0.071,0.008,0.007,0.021,0.035,0.05,0.059,0.06,-0.013,0.026,0.022,0.037,0.048,0.065,0.078,0.084,43,202,445.7,859.2,1508,2435.5,3302.1,4186.9
